,Job_title,index
0,Data Scientist,0
1,Data Engineer,1
2,Data Analyst,2
3,Machine Learning Engineer,3
4,Research Scientist,4
5,Data Science Manager,5
6,Data Architect,6
7,Big Data Engineer,7
8,Machine Learning Scientist,8
9,Principal Data Scientist,9
10,AI Scientist,10
11,Data Science Consultant,11
12,Director of Data Science,12
13,Data Analytics Manager,13
14,ML Engineer,14
15,Computer Vision Engineer,15
16,BI Data Analyst,16
17,Lead Data Engineer,17
18,Data Engineering Manager,18
19,Business Data Analyst,19
20,Head of Data,20
21,Applied Data Scientist,21
22,Applied Machine Learning Scientist,22
23,Head of Data Science,23
24,Analytics Engineer,24
25,Data Analytics Engineer,25
26,Machine Learning Developer,26
27,Machine Learning Infrastructure Engineer,27
28,Lead Data Scientist,28
29,Computer Vision Software Engineer,29
30,Lead Data Analyst,30
31,Data Science Engineer,31
32,Principal Data Engineer,32
33,Principal Data Analyst,33
34,ETL Developer,34
35,Product Data Analyst,35
36,Director of Data Engineering,36
37,Financial Data Analyst,37
38,Cloud Data Engineer,38
39,Lead Machine Learning Engineer,39
40,NLP Engineer,40
41,Head of Machine Learning,41
42,3D Computer Vision Researcher,42
43,Data Specialist,43
44,Staff Data Scientist,44
45,Big Data Architect,45
46,Finance Data Analyst,46
47,Marketing Data Analyst,47
48,Machine Learning Manager,48
49,Data Analytics Lead,49
